0.000,6015.000,16.067,0.777,0.225,0.293,-0.002,-0.002
3021.000,6016.000,16.069,0.776,0.225,0.290,-0.002,-0.002
6035.000,6019.000,16.069,0.777,0.225,0.282,-0.002,-0.001
9055.000,6000.000,15.969,0.774,0.224,0.280,-0.003,-0.001
12077.000,6003.000,15.970,0.774,0.224,0.282,-0.002,-0.001
15097.000,5987.000,15.969,0.773,0.225,0.286,-0.002,-0.002
18119.000,5989.000,15.969,0.774,0.225,0.288,-0.002,-0.002
21136.000,6005.000,16.066,0.775,0.225,0.287,-0.002,-0.001
24157.000,6000.000,15.966,0.774,0.224,0.289,-0.002,-0.002
27177.000,6002.000,15.966,0.775,0.226,0.274,-0.002,-0.002
30212.000,6004.000,15.970,0.774,0.233,0.248,-0.002,-0.002
33234.000,6025.000,15.971,0.769,0.239,0.244,-0.002,-0.002
36249.000,6021.000,15.975,0.770,0.239,0.244,-0.002,-0.001
39271.000,6027.000,15.980,0.769,0.238,0.232,-0.002,-0.002
42289.000,6026.000,15.977,0.770,0.239,0.240,-0.002,-0.002
45310.000,6042.000,15.972,0.766,0.239,0.241,-0.002,-0.002
48329.000,6019.000,15.976,0.770,0.239,0.238,-0.002,-0.002
51350.000,6028.000,15.975,0.767,0.240,0.243,-0.002,-0.002
54375.000,6016.000,15.971,0.771,0.241,0.251,-0.002,-0.002
57392.000,5996.000,15.930,0.770,0.241,0.239,-0.002,-0.002
60414.000,6016.000,15.974,0.774,0.249,0.213,-0.002,-0.002
63435.000,6025.000,15.876,0.762,0.251,0.203,-0.002,-0.002
66446.000,6029.000,15.879,0.760,0.251,0.200,-0.002,-0.002
69465.000,6031.000,15.880,0.759,0.251,0.200,-0.002,-0.002
72486.000,6044.000,15.881,0.756,0.251,0.199,-0.002,-0.002
75508.000,6040.000,15.876,0.759,0.250,0.202,-0.003,-0.002
78529.000,6039.000,15.875,0.758,0.252,0.203,-0.002,-0.002
81544.000,6042.000,15.879,0.761,0.250,0.197,-0.003,-0.002
84561.000,6013.000,15.776,0.754,0.252,0.200,-0.003,-0.002
87582.000,6010.000,15.774,0.756,0.259,0.168,-0.002,-0.002
90594.000,6033.000,15.781,0.748,0.266,0.147,-0.003,-0.002
93606.000,6052.000,15.786,0.739,0.265,0.128,-0.003,-0.002
96622.000,6051.000,15.788,0.738,0.266,0.129,-0.002,-0.002
99639.000,6056.000,15.788,0.736,0.266,0.130,-0.002,-0.002
102657.000,6045.000,15.684,0.732,0.266,0.131,-0.002,-0.002
105671.000,6052.000,15.686,0.729,0.265,0.133,-0.002,-0.002
108681.000,6040.000,15.686,0.727,0.265,0.129,-0.002,-0.002
111693.000,6044.000,15.685,0.728,0.266,0.137,-0.002,-0.001
114715.000,6041.000,15.682,0.732,0.266,0.127,-0.002,-0.001
117730.000,6006.000,15.590,0.730,0.271,0.113,-0.002,-0.002
120751.000,6012.000,15.592,0.728,0.275,0.115,-0.002,-0.002
123763.000,6025.000,15.595,0.723,0.276,0.115,-0.002,-0.002
126780.000,6025.000,15.597,0.719,0.275,0.108,-0.002,-0.002
129793.000,6012.000,15.596,0.726,0.276,0.118,-0.002,-0.002
132813.000,6002.000,15.595,0.727,0.275,0.106,-0.003,-0.002
135834.000,6013.000,15.594,0.726,0.274,0.098,-0.002,-0.002
138852.000,6016.000,15.590,0.727,0.276,0.106,-0.002,-0.002
141872.000,6023.000,15.594,0.725,0.275,0.101,-0.002,-0.002
144891.000,6031.000,15.600,0.720,0.275,0.098,-0.002,-0.002
147908.000,6038.000,15.600,0.719,0.273,0.096,-0.003,-0.001
